t,x,y
0.00E+00,-1.33E-03,1.09E-03
5.03E+00,-1.33E-03,4.47E-04
1.00E+01,-1.33E-03,4.47E-04
1.51E+01,-3.93E-02,-1.34E-01
2.01E+01,-1.68E-02,-8.53E-02
2.51E+01,-2.32E-02,-1.03E-01
3.01E+01,-2.45E-02,-1.06E-01
3.51E+01,-2.45E-02,-1.06E-01
4.02E+01,-2.45E-02,-1.06E-01
4.52E+01,-3.29E-02,-1.19E-01
5.02E+01,-3.16E-02,-1.21E-01
5.52E+01,-3.16E-02,-1.22E-01
6.03E+01,-3.23E-02,-1.21E-01
6.53E+01,-3.93E-02,-1.36E-01
7.03E+01,-3.80E-02,-1.33E-01
7.53E+01,-3.95E-02,-1.35E-01
8.03E+01,-3.95E-02,-1.36E-01
8.54E+01,-4.53E-02,-1.47E-01
9.04E+01,-4.60E-02,-1.44E-01
9.54E+01,-4.53E-02,-1.48E-01
1.00E+02,-4.67E-02,-1.48E-01
1.05E+02,-5.18E-02,-1.58E-01
1.10E+02,-5.25E-02,-1.56E-01
1.15E+02,-5.25E-02,-1.59E-01
1.20E+02,-5.40E-02,-1.63E-01
1.26E+02,-5.97E-02,-1.68E-01
1.31E+02,-5.97E-02,-1.68E-01
1.36E+02,-5.97E-02,-1.69E-01
1.41E+02,-6.34E-02,-1.74E-01
1.46E+02,-6.70E-02,-1.76E-01
1.51E+02,-6.41E-02,-1.77E-01
1.56E+02,-6.55E-02,-1.79E-01
1.61E+02,-6.99E-02,-1.83E-01
1.66E+02,-7.28E-02,-1.84E-01
1.71E+02,-7.28E-02,-1.86E-01
1.76E+02,-7.20E-02,-1.86E-01
1.81E+02,-7.57E-02,-1.89E-01
1.86E+02,-7.93E-02,-1.93E-01
1.91E+02,-7.78E-02,-1.92E-01
1.96E+02,-7.93E-02,-1.91E-01
2.01E+02,-8.58E-02,-2.00E-01
2.06E+02,-8.58E-02,-2.00E-01
2.11E+02,-8.58E-02,-2.00E-01
2.16E+02,-8.58E-02,-2.00E-01
2.21E+02,-8.58E-02,-2.02E-01
2.26E+02,-9.01E-02,-2.07E-01
2.31E+02,-9.08E-02,-2.09E-01
2.36E+02,-9.19E-02,-2.09E-01
2.41E+02,-9.63E-02,-2.14E-01
2.46E+02,-9.84E-02,-2.15E-01
2.51E+02,-9.84E-02,-2.17E-01
2.56E+02,-9.95E-02,-2.18E-01
2.61E+02,-1.04E-01,-2.22E-01
2.66E+02,-1.05E-01,-2.24E-01
2.71E+02,-1.10E-01,-2.27E-01
2.76E+02,-1.13E-01,-2.32E-01
