t,x,y
0.00E+00,4.91E-06,6.72E-04
5.02E+00,4.91E-06,6.72E-04
1.00E+01,4.91E-06,6.72E-04
1.51E+01,4.91E-06,6.72E-04
2.01E+01,4.91E-06,6.72E-04
2.51E+01,-1.64E-02,-8.32E-02
3.01E+01,-6.07E-03,-5.68E-02
3.51E+01,-7.05E-03,-5.76E-02
4.02E+01,-7.05E-03,-5.76E-02
4.52E+01,-9.62E-03,-6.83E-02
5.02E+01,-9.89E-03,-6.97E-02
5.52E+01,-9.89E-03,-7.05E-02
6.02E+01,-9.89E-03,-7.05E-02
6.53E+01,-1.34E-02,-8.29E-02
7.03E+01,-1.26E-02,-7.98E-02
7.53E+01,-1.31E-02,-8.20E-02
8.03E+01,-1.31E-02,-8.20E-02
8.53E+01,-1.61E-02,-9.05E-02
9.04E+01,-1.64E-02,-9.16E-02
9.54E+01,-1.68E-02,-9.24E-02
1.00E+02,-1.83E-02,-9.70E-02
1.05E+02,-1.99E-02,-1.02E-01
1.10E+02,-2.00E-02,-1.01E-01
1.15E+02,-2.00E-02,-1.02E-01
1.20E+02,-2.06E-02,-1.02E-01
1.26E+02,-2.32E-02,-1.09E-01
1.31E+02,-2.40E-02,-1.10E-01
1.36E+02,-2.40E-02,-1.11E-01
1.41E+02,-2.75E-02,-1.19E-01
1.46E+02,-2.75E-02,-1.19E-01
1.51E+02,-2.75E-02,-1.19E-01
1.56E+02,-2.75E-02,-1.19E-01
1.61E+02,-3.06E-02,-1.26E-01
1.66E+02,-3.06E-02,-1.26E-01
1.71E+02,-3.07E-02,-1.26E-01
1.76E+02,-3.07E-02,-1.26E-01
1.81E+02,-3.43E-02,-1.34E-01
1.86E+02,-3.29E-02,-1.31E-01
1.91E+02,-3.40E-02,-1.32E-01
1.96E+02,-3.45E-02,-1.34E-01
2.01E+02,-3.45E-02,-1.34E-01
2.06E+02,-3.76E-02,-1.40E-01
2.11E+02,-3.79E-02,-1.40E-01
2.16E+02,-3.83E-02,-1.41E-01
2.21E+02,-3.87E-02,-1.41E-01
2.26E+02,-4.20E-02,-1.47E-01
2.31E+02,-4.12E-02,-1.46E-01
2.36E+02,-4.20E-02,-1.47E-01
2.41E+02,-4.31E-02,-1.50E-01
2.46E+02,-4.50E-02,-1.53E-01
2.51E+02,-4.50E-02,-1.53E-01
2.56E+02,-4.50E-02,-1.53E-01
2.61E+02,-4.50E-02,-1.53E-01
2.66E+02,-4.73E-02,-1.57E-01
2.71E+02,-4.73E-02,-1.57E-01
2.76E+02,-4.81E-02,-1.57E-01
2.81E+02,-5.04E-02,-1.61E-01
2.86E+02,-5.08E-02,-1.62E-01
2.91E+02,-5.13E-02,-1.63E-01
2.96E+02,-5.13E-02,-1.63E-01
3.01E+02,-5.28E-02,-1.67E-01
3.06E+02,-5.47E-02,-1.68E-01
3.11E+02,-5.47E-02,-1.68E-01
3.16E+02,-5.47E-02,-1.68E-01
3.21E+02,-5.47E-02,-1.68E-01
3.26E+02,-5.64E-02,-1.72E-01
3.31E+02,-5.64E-02,-1.72E-01
3.36E+02,-5.64E-02,-1.72E-01
3.41E+02,-5.88E-02,-1.74E-01
3.46E+02,-5.98E-02,-1.76E-01
3.51E+02,-6.01E-02,-1.76E-01
3.56E+02,-6.01E-02,-1.76E-01
3.61E+02,-6.01E-02,-1.77E-01
3.66E+02,-6.23E-02,-1.80E-01
3.71E+02,-6.29E-02,-1.80E-01
3.77E+02,-6.29E-02,-1.80E-01
3.82E+02,-6.56E-02,-1.83E-01
3.87E+02,-6.59E-02,-1.84E-01
3.92E+02,-6.64E-02,-1.84E-01
3.97E+02,-6.68E-02,-1.85E-01
4.02E+02,-6.70E-02,-1.86E-01
4.07E+02,-6.93E-02,-1.89E-01
4.12E+02,-6.83E-02,-1.88E-01
4.17E+02,-6.87E-02,-1.88E-01
4.22E+02,-7.17E-02,-1.92E-01
4.27E+02,-7.21E-02,-1.93E-01
4.32E+02,-7.26E-02,-1.93E-01
4.37E+02,-7.22E-02,-1.93E-01
4.42E+02,-7.39E-02,-1.95E-01
4.47E+02,-7.67E-02,-1.97E-01
4.52E+02,-7.60E-02,-1.97E-01
4.57E+02,-7.62E-02,-1.98E-01
4.62E+02,-7.89E-02,-2.00E-01
4.67E+02,-7.96E-02,-2.01E-01
4.72E+02,-7.96E-02,-2.01E-01
