t,x,y
2.01E+01,-2.43E+00,-3.47E+00
2.51E+01,-2.43E+00,-3.47E+00
3.01E+01,-2.43E+00,-4.52E+00
3.51E+01,-2.43E+00,-4.52E+00
4.02E+01,-2.43E+00,-4.52E+00
4.52E+01,-2.48E+00,-5.06E+00
5.02E+01,-2.48E+00,-5.06E+00
5.52E+01,-2.48E+00,-5.06E+00
6.02E+01,-2.71E+00,-5.83E+00
6.53E+01,-2.71E+00,-5.83E+00
7.03E+01,-2.71E+00,-6.06E+00
7.53E+01,-2.71E+00,-6.06E+00
8.03E+01,-2.79E+00,-6.68E+00
8.53E+01,-2.94E+00,-6.76E+00
9.04E+01,-2.94E+00,-6.76E+00
9.54E+01,-2.87E+00,-6.83E+00
1.00E+02,-3.18E+00,-7.76E+00
1.05E+02,-3.10E+00,-7.61E+00
1.10E+02,-3.10E+00,-7.61E+00
1.15E+02,-3.18E+00,-7.68E+00
1.20E+02,-3.33E+00,-8.30E+00
1.26E+02,-3.33E+00,-8.30E+00
1.31E+02,-3.26E+00,-8.44E+00
1.36E+02,-3.26E+00,-8.44E+00
1.41E+02,-3.56E+00,-9.14E+00
1.46E+02,-3.52E+00,-8.96E+00
1.51E+02,-3.48E+00,-9.18E+00
1.56E+02,-3.61E+00,-9.31E+00
1.61E+02,-3.78E+00,-9.66E+00
1.66E+02,-3.87E+00,-9.83E+00
1.71E+02,-3.87E+00,-9.83E+00
1.76E+02,-3.69E+00,-1.00E+01
1.81E+02,-4.04E+00,-1.04E+01
1.86E+02,-4.00E+00,-1.04E+01
1.91E+02,-4.00E+00,-1.05E+01
1.96E+02,-3.95E+00,-1.06E+01
2.01E+02,-4.21E+00,-1.10E+01
2.06E+02,-4.30E+00,-1.11E+01
2.11E+02,-4.30E+00,-1.11E+01
2.16E+02,-4.30E+00,-1.11E+01
2.21E+02,-4.47E+00,-1.17E+01
2.26E+02,-4.47E+00,-1.17E+01
2.31E+02,-4.47E+00,-1.17E+01
2.36E+02,-4.56E+00,-1.17E+01
2.41E+02,-4.86E+00,-1.23E+01
2.46E+02,-4.73E+00,-1.21E+01
2.51E+02,-4.73E+00,-1.21E+01
2.56E+02,-4.99E+00,-1.22E+01
2.61E+02,-5.17E+00,-1.26E+01
2.66E+02,-4.99E+00,-1.26E+01
2.71E+02,-4.99E+00,-1.26E+01
2.76E+02,-4.99E+00,-1.26E+01
2.81E+02,-5.25E+00,-1.30E+01
2.86E+02,-5.25E+00,-1.30E+01
2.91E+02,-5.25E+00,-1.30E+01
2.96E+02,-5.25E+00,-1.30E+01
3.01E+02,-5.51E+00,-1.33E+01
3.06E+02,-5.51E+00,-1.36E+01
3.11E+02,-5.51E+00,-1.36E+01
3.16E+02,-5.51E+00,-1.36E+01
3.21E+02,-5.64E+00,-1.39E+01
3.26E+02,-5.77E+00,-1.41E+01
3.31E+02,-5.77E+00,-1.41E+01
3.36E+02,-5.77E+00,-1.41E+01
3.41E+02,-5.77E+00,-1.41E+01
3.46E+02,-5.77E+00,-1.41E+01
3.51E+02,-6.08E+00,-1.45E+01
3.56E+02,-6.08E+00,-1.45E+01
3.61E+02,-6.25E+00,-1.50E+01
3.66E+02,-6.25E+00,-1.50E+01
3.71E+02,-6.25E+00,-1.50E+01
3.77E+02,-6.34E+00,-1.51E+01
3.82E+02,-6.64E+00,-1.53E+01
3.87E+02,-6.73E+00,-1.53E+01
3.92E+02,-6.73E+00,-1.53E+01
