t,x,y
6.90E+02,-5.00E-02,-1.42E-01
6.95E+02,-5.00E-02,-1.42E-01
7.00E+02,-4.75E-02,-1.43E-01
7.05E+02,-4.75E-02,-1.43E-01
7.10E+02,-4.75E-02,-1.45E-01
7.15E+02,-4.62E-02,-1.45E-01
7.20E+02,-4.96E-02,-1.51E-01
7.25E+02,-4.96E-02,-1.51E-01
7.30E+02,-4.96E-02,-1.51E-01
7.35E+02,-4.96E-02,-1.51E-01
7.40E+02,-4.96E-02,-1.52E-01
7.45E+02,-4.96E-02,-1.54E-01
7.50E+02,-4.96E-02,-1.54E-01
7.55E+02,-4.96E-02,-1.55E-01
7.60E+02,-5.43E-02,-1.59E-01
7.65E+02,-5.51E-02,-1.64E-01
7.70E+02,-6.06E-02,-1.72E-01
