t,x,y
0.00E+00,8.22E-04,-1.52E-04
5.03E+00,8.22E-04,-1.52E-04
1.01E+01,8.22E-04,-1.52E-04
1.51E+01,-6.71E-03,-7.84E-02
2.01E+01,-6.71E-03,-7.08E-02
2.51E+01,-6.71E-03,-7.20E-02
3.01E+01,-7.29E-03,-7.20E-02
3.52E+01,-9.61E-03,-8.71E-02
4.02E+01,-1.08E-02,-8.71E-02
4.52E+01,-1.08E-02,-8.71E-02
5.02E+01,-1.08E-02,-8.71E-02
5.52E+01,-1.42E-02,-9.81E-02
6.03E+01,-1.48E-02,-9.81E-02
6.53E+01,-1.42E-02,-9.92E-02
7.03E+01,-1.54E-02,-1.02E-01
7.53E+01,-1.83E-02,-1.11E-01
8.03E+01,-1.83E-02,-1.11E-01
8.54E+01,-1.83E-02,-1.11E-01
9.04E+01,-2.35E-02,-1.21E-01
9.54E+01,-2.18E-02,-1.20E-01
1.00E+02,-2.12E-02,-1.20E-01
1.05E+02,-2.35E-02,-1.22E-01
1.10E+02,-2.35E-02,-1.22E-01
1.15E+02,-2.70E-02,-1.32E-01
1.20E+02,-2.70E-02,-1.32E-01
1.26E+02,-2.70E-02,-1.32E-01
1.31E+02,-2.87E-02,-1.35E-01
1.36E+02,-3.16E-02,-1.37E-01
1.41E+02,-3.22E-02,-1.42E-01
1.46E+02,-3.16E-02,-1.42E-01
1.51E+02,-3.28E-02,-1.47E-01
1.56E+02,-3.63E-02,-1.51E-01
1.61E+02,-3.63E-02,-1.49E-01
1.66E+02,-3.63E-02,-1.53E-01
1.71E+02,-3.63E-02,-1.53E-01
1.76E+02,-3.80E-02,-1.58E-01
1.81E+02,-4.09E-02,-1.58E-01
1.86E+02,-3.97E-02,-1.58E-01
1.91E+02,-3.97E-02,-1.58E-01
1.96E+02,-4.38E-02,-1.64E-01
2.01E+02,-4.44E-02,-1.64E-01
2.06E+02,-4.44E-02,-1.65E-01
2.11E+02,-4.73E-02,-1.72E-01
2.16E+02,-4.73E-02,-1.72E-01
2.21E+02,-4.73E-02,-1.72E-01
2.26E+02,-4.73E-02,-1.72E-01
2.31E+02,-5.02E-02,-1.75E-01
2.36E+02,-5.02E-02,-1.76E-01
2.41E+02,-5.02E-02,-1.76E-01
2.46E+02,-5.02E-02,-1.76E-01
2.51E+02,-5.19E-02,-1.78E-01
2.56E+02,-5.42E-02,-1.83E-01
2.61E+02,-5.48E-02,-1.84E-01
2.66E+02,-5.48E-02,-1.84E-01
2.71E+02,-5.94E-02,-1.88E-01
2.76E+02,-6.06E-02,-1.91E-01
2.81E+02,-6.06E-02,-1.91E-01
2.86E+02,-6.06E-02,-1.91E-01
2.91E+02,-6.35E-02,-1.94E-01
2.96E+02,-6.58E-02,-1.99E-01
3.01E+02,-6.58E-02,-1.99E-01
3.06E+02,-6.58E-02,-1.99E-01
3.11E+02,-6.58E-02,-1.99E-01
3.16E+02,-6.81E-02,-2.04E-01
3.21E+02,-6.81E-02,-2.04E-01
3.26E+02,-6.81E-02,-2.04E-01
3.31E+02,-7.10E-02,-2.07E-01
3.36E+02,-7.39E-02,-2.09E-01
3.41E+02,-7.39E-02,-2.09E-01
3.46E+02,-7.39E-02,-2.09E-01
3.51E+02,-7.80E-02,-2.13E-01
3.56E+02,-7.80E-02,-2.13E-01
3.61E+02,-7.85E-02,-2.15E-01
3.66E+02,-7.91E-02,-2.16E-01
3.72E+02,-7.91E-02,-2.16E-01
3.77E+02,-8.26E-02,-2.21E-01
3.82E+02,-8.43E-02,-2.21E-01
3.87E+02,-8.49E-02,-2.25E-01
3.92E+02,-8.49E-02,-2.25E-01
3.97E+02,-8.84E-02,-2.28E-01
4.02E+02,-8.90E-02,-2.27E-01
4.07E+02,-9.01E-02,-2.30E-01
4.12E+02,-9.25E-02,-2.34E-01
4.17E+02,-9.77E-02,-2.36E-01
4.22E+02,-1.00E-01,-2.41E-01
